STN_LABEL;ADR_NUMBER;zip;place;COM_CANTON;lat;long
Hohniesenweg;21;3110;Münsingen;BE;46.87109280288232;7.555082856038407
Juraweg;12;3373;Heimenhausen;BE;47.21259932849366;7.701897475237614
Ländteweg;1a;3234;Vinelz;BE;47.0361777705978;7.109376659025472
Herbisgasse;32;3714;Frutigen;BE;46.589356394853915;7.6629508203398355
Aarmattenweg;17;3860;Meiringen;BE;46.72438561084977;8.184676845829518
Sprünglistrasse;3;3006;Bern;BE;46.93748630687756;7.472554670772468
Unterdorf;60a;3233;Tschugg;BE;47.025335966359584;7.075794373348457
Einschlagstrasse;15;4923;Wynau;BE;47.255146830486055;7.820147346773303
Wysshölzlistrasse;34;3360;Herzogenbuchsee;BE;47.18281207306908;7.715828383751255
Weiergrabenweg;50d;3612;Steffisburg;BE;46.78843428466963;7.6346106918119485
Turenmattenstrasse;8;3860;Meiringen;BE;46.72534980483763;8.185802117016404
Muristrasse;65;3006;Bern;BE;46.940986673800225;7.467933774698768
Brunnacher;14;3257;Grossaffoltern;BE;47.06672577709864;7.364356376204358
Schlossmattstrasse;20;3415;Rüegsauschachen;BE;47.01847703374265;7.665211914063635
Ahornweg;34;3110;Münsingen;BE;46.86699891145789;7.556097078848864
Mittlere Haltenstrasse;3a;3625;Heiligenschwendi;BE;46.74736239246519;7.6678457499172605
Bruchbühl;25;3325;Hettiswil b. Hindelbank;BE;47.03399121346878;7.550250203934306
Breiten;16;3232;Ins;BE;47.00708895455537;7.100626939865589
Zürchermatte;17;3550;Langnau im Emmental;BE;46.94360229764694;7.774950221924573
Rue de la Fourchaux;18;2610;St-Imier;BE;47.14965543566322;6.989232710107995
Speckhubel;5;3631;Höfen b. Thun;BE;46.72233635664685;7.563358015762496
Stadtfeldstrasse;9a;3800;Unterseen;BE;46.68783256971054;7.839819237311051
Kirchbühl;9;3510;Konolfingen;BE;46.87596833048913;7.618006256228761
Gummla;697;3852;Ringgenberg BE;BE;46.70496745101591;7.890852708175335
Hintere Engehaldenstrasse;52;3004;Bern;BE;46.97083590534898;7.446884590755485
Schützenrain;27;3042;Ortschwaben;BE;46.99673425751359;7.39724390965121
Hornbergstrasse;10;3777;Saanenmöser;BE;46.516111219635825;7.313846403934122
Gebelstrasse;37a;3126;Kaufdorf;BE;46.838565252155;7.4958929861620875
Bächi;217c;3068;Utzigen;BE;46.97403019613891;7.582507836665813
Hauptstrasse;5;3303;Münchringen;BE;47.046087401321905;7.5204822615537905
Pappelweg;25;2560;Nidau;BE;47.12245043407856;7.2331944094002125
Simmendamm;7;3775;Lenk im Simmental;BE;46.449954427542565;7.452306552739215
Untere Goldey;21;3800;Unterseen;BE;46.688820650194025;7.852820574090503
Hübeli;1;3234;Vinelz;BE;47.031628776204926;7.113404096008197
Bachstrasse;3;3298;Oberwil b. Büren;BE;47.132813112656734;7.40598049866802
Fontenalstrasse / Rue Fontenal;6;2502;Biel/Bienne;BE;47.14870876871745;7.261466548003126
Les Brues;21d;2606;Corgémont;BE;47.192542630923114;7.141030001983863
Langenwilweg;19;3150;Schwarzenburg;BE;46.813786997076825;7.337155075302196
Fellhaltenweg;5a;3818;Grindelwald;BE;46.62909804597369;8.064061568111471
Turmholzweg;27a;3173;Oberwangen b. Bern;BE;46.909701908550964;7.356845011778454
Höheweg / La Haute-Route;84a;2502;Biel/Bienne;BE;47.142978298648785;7.244386916123031
Leinackerstrasse;4;3297;Leuzigen;BE;47.17338352292281;7.455064121640683
Mettlenstrasse;8a;3780;Gstaad;BE;46.47871780226262;7.27299337364639
Steineren-Strasse;15;3770;Zweisimmen;BE;46.56618135473554;7.381316866049104
Bremgartenstrasse;73;3012;Bern;BE;46.95611003156528;7.424128696740227
Untere Steinweide;10;3713;Reichenbach im Kandertal;BE;46.63257795957703;7.720770770497611
Grundstrasse;41;3818;Grindelwald;BE;46.622279789892275;8.025035045787295
Höhenstrasse;12;3652;Hilterfingen;BE;46.73553405174953;7.662941628030224
Roggera;236a;3812;Wilderswil;BE;46.6605496640886;7.854668508582081
Murtenstrasse;15a;3270;Aarberg;BE;47.04233245494351;7.271952142227153
Chemin de la Rochette;19a;2710;Tavannes;BE;47.21910242724857;7.1935315613866395
Friedlistrasse;33;3006;Bern;BE;46.948210059701005;7.466886755434288
Elfenauweg;110b;3006;Bern;BE;46.931883071090084;7.469754237232461
Bärletweg / Chemin de Bärlet;33;2503;Biel/Bienne;BE;47.12950988234931;7.264799088731242
Finkenweg;2;3303;Jegenstorf;BE;47.05604432452815;7.50745389256805
Riedgasse;23;4912;Aarwangen;BE;47.24240439607416;7.769615449108385
Mühlehalde;11;3268;Lobsigen;BE;47.02553946794712;7.292157175148105
Bernstrasse;20;3271;Radelfingen b. Aarberg;BE;47.02097751421452;7.277740582017483
Bächlenstrasse;26;3753;Oey;BE;46.65687758137291;7.577709571699202
Adelrainstrasse;14e;3714;Frutigen;BE;46.571624339688704;7.644772521515002
Affolternstrasse;45;3416;Affoltern im Emmental;BE;47.06486023088662;7.73451874387043
Oberstrasse;59;3550;Langnau im Emmental;BE;46.944295608122935;7.777778487313946
Buchholzstrasse;4a;3429;Höchstetten;BE;47.14291232581436;7.636548985052458
