type_search,street,price,object_type,living_area,construction_category,PLZ_only,Location,canton,BFS-Nr.,Region type,Haustiere erlaubt,Balkon,Terrasse,Kabel-TV,Rollstuhlgängig,Kinderfreundlich,Garage,Lift,Neubau,Keller,Reduit,Geschirrspüler,Steamer,Spielplatz,Eckhaus,Parkplatz,Aussicht,Minergie Bauweise,Minergie zertifiziert,Mittelhaus,Ruhige Lage,Waschmaschine,Rauchen erlaubt,Stromanschluss,Wasseranschluss,Abwasseranschluss,Cheminée,Altbau,Estrich,Swimmingpool,Bauland erschlossen,Mit Gartenhaus,Im Baurecht,Hochparterre,Gasanschluss,Tumbler,In Wohngemeinschaft,Hebebühne,Gedeckt,Anfahrrampe LKW,full_address,lat,long
haus,Wühristrasse 37,1111846.154,Einfamilienhaus,141.6666667,Old Buildings,5712,Beinwil am See,Aargau,4131,2: Agglomerationskerngemeinde (Hauptkern),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wühristrasse 37 5712,47.266291194897306,8.197039034773338
haus,Dorfstrasse 421,1059284.615,Einfamilienhaus,191.6666667,Old Buildings,5728,Gontenschwil,Aargau,4135,7: Ländliche Gemeinde ohne städtischen Charakter,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dorfstrasse 421 5728,47.26828142038019,8.147168307692318
haus,Maiengrünstrasse 7,1263461.538,Einfamilienhaus,158.3333333,Old Buildings,5607,Hägglingen,Aargau,4068,5: Mehrfach orientierte Gemeinde,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Maiengrünstrasse 7 5607,47.39181699685872,8.248257162002325
haus,Trottenacker 436,1005715.385,Einfamilienhaus,191.6666667,New Construction,5078,Böztal,Aargau,4185,5: Mehrfach orientierte Gemeinde,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trottenacker 436 5078,47.487441841408085,8.106682768580853
haus,Buechbühlstrasse 15b,1314000.0,Doppeleinfamilienhaus,158.3333333,Modern Buildings,8956,Killwangen,Aargau,4030,3: Agglomerationskerngemeinde (Nebenkern),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buechbühlstrasse 15b 8956,47.428558030688734,8.352362120393403
haus,Chaletweg 14,803561.5385,Einfamilienhaus,141.6666667,Old Buildings,4852,Rothrist,Aargau,4282,6 Kerngemeinde ausserhalb Agglomerationen,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chaletweg 14 4852,47.30329531398149,7.882969859527584
haus,Untere Vorstadt 6,1511100.0,Einfamilienhaus,400.0,Modern Buildings,4305,Olsberg,Aargau,4257,4: Agglomerationsgürtelgemeinde,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Untere Vorstadt 6 4305,47.52131659109504,7.785488904405797
haus,Tiergärtli 1,1076469.231,Einfamilienhaus,275.0,Modern Buildings,4315,Zuzgen,Aargau,4264,4: Agglomerationsgürtelgemeinde,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tiergärtli 1 4315,47.52785324601541,7.897433297715467
haus,Hofmatt 12A,1511100.0,Einfamilienhaus,158.3333333,Modern Buildings,5452,Oberrohrdorf,Aargau,4037,6 Kerngemeinde ausserhalb Agglomerationen,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hofmatt 12A 5452,,
haus,Schönbühl 7,1364538.462,Einfamilienhaus,225.0,Old Buildings,5703,Seon,Aargau,4209,5: Mehrfach orientierte Gemeinde,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Schönbühl 7 5703,47.354503810944685,8.15907439096279
